year,basin,sub-basin,predicted_glacier_area,predicted_ice_volume,predicted_min_elev
2020,Mahakali,Mahakali,110.1469,6.9809,3712.9868
2020,Karnali,West Seti,151.5601,7.6181,4126.5149
2020,Karnali,Kawari,20.0312,1.1681,3701.7567
2020,Karnali,Humla,345.4666,19.2479,4268.5431
2020,Karnali,Mugu,117.0815,5.9371,4461.0915
2020,Karnali,Tila,23.6864,1.1973,4129.2616
2020,Karnali,Bheri,364.7663,25.0935,4122.4632
2020,Gandaki,Kali Gandaki,544.6809,39.2571,3828.7518
2020,Gandaki,Seti,68.4329,6.9276,3844.9247
2020,Gandaki,Marsyangdi,519.8164,40.981,3681.0542
2020,Gandaki,Budhi Gandaki,347.1249,29.2099,3285.6531
2020,Gandaki,Trishuli,211.468,18.9622,3667.4133
2020,Koshi,Indrawati,5.39,1.2615,4782.9676
2020,Koshi,Sun Koshi,58.4403,4.2855,4051.8603
2020,Koshi,Tama Koshi,87.0127,8.2415,4353.5571
2020,Koshi,Likhu,14.9326,1.1681,4281.9223
2020,Koshi,Dudh Koshi,398.4721,39.3006,4402.738
2020,Koshi,Arun,147.8269,15.1364,4205.5578
2020,Koshi,Tamor,386.7258,42.544,4171.9368
2030,Mahakali,Mahakali,110.1469,6.9809,3712.9868
2030,Karnali,West Seti,151.5601,7.6181,4126.5149
2030,Karnali,Kawari,20.0312,1.1681,3701.7567
2030,Karnali,Humla,345.4666,19.2479,4268.5431
2030,Karnali,Mugu,117.0815,5.9371,4461.0915
2030,Karnali,Tila,23.6864,1.1973,4129.2616
2030,Karnali,Bheri,364.7663,25.0935,4122.4632
2030,Gandaki,Kali Gandaki,544.6809,39.2571,3828.7518
2030,Gandaki,Seti,68.4329,6.9276,3844.9247
2030,Gandaki,Marsyangdi,519.8164,40.981,3681.0542
2030,Gandaki,Budhi Gandaki,347.1249,29.2099,3285.6531
2030,Gandaki,Trishuli,211.468,18.9622,3667.4133
2030,Koshi,Indrawati,5.39,1.2615,4782.9676
2030,Koshi,Sun Koshi,58.4403,4.2855,4051.8603
2030,Koshi,Tama Koshi,87.0127,8.2415,4353.5571
2030,Koshi,Likhu,14.9326,1.1681,4281.9223
2030,Koshi,Dudh Koshi,398.4721,39.3006,4402.738
2030,Koshi,Arun,147.8269,15.1364,4205.5578
2030,Koshi,Tamor,386.7258,42.544,4171.9368
2040,Mahakali,Mahakali,110.1469,6.9809,3712.9868
2040,Karnali,West Seti,151.5601,7.6181,4126.5149
2040,Karnali,Kawari,20.0312,1.1681,3701.7567
2040,Karnali,Humla,345.4666,19.2479,4268.5431
2040,Karnali,Mugu,117.0815,5.9371,4461.0915
2040,Karnali,Tila,23.6864,1.1973,4129.2616
2040,Karnali,Bheri,364.7663,25.0935,4122.4632
2040,Gandaki,Kali Gandaki,544.6809,39.2571,3828.7518
2040,Gandaki,Seti,68.4329,6.9276,3844.9247
2040,Gandaki,Marsyangdi,519.8164,40.981,3681.0542
2040,Gandaki,Budhi Gandaki,347.1249,29.2099,3285.6531
2040,Gandaki,Trishuli,211.468,18.9622,3667.4133
2040,Koshi,Indrawati,5.39,1.2615,4782.9676
2040,Koshi,Sun Koshi,58.4403,4.2855,4051.8603
2040,Koshi,Tama Koshi,87.0127,8.2415,4353.5571
2040,Koshi,Likhu,14.9326,1.1681,4281.9223
2040,Koshi,Dudh Koshi,398.4721,39.3006,4402.738
2040,Koshi,Arun,147.8269,15.1364,4205.5578
2040,Koshi,Tamor,386.7258,42.544,4171.9368
2050,Mahakali,Mahakali,110.1469,6.9809,3712.9868
2050,Karnali,West Seti,151.5601,7.6181,4126.5149
2050,Karnali,Kawari,20.0312,1.1681,3701.7567
2050,Karnali,Humla,345.4666,19.2479,4268.5431
2050,Karnali,Mugu,117.0815,5.9371,4461.0915
2050,Karnali,Tila,23.6864,1.1973,4129.2616
2050,Karnali,Bheri,364.7663,25.0935,4122.4632
2050,Gandaki,Kali Gandaki,544.6809,39.2571,3828.7518
2050,Gandaki,Seti,68.4329,6.9276,3844.9247
2050,Gandaki,Marsyangdi,519.8164,40.981,3681.0542
2050,Gandaki,Budhi Gandaki,347.1249,29.2099,3285.6531
2050,Gandaki,Trishuli,211.468,18.9622,3667.4133
2050,Koshi,Indrawati,5.39,1.2615,4782.9676
2050,Koshi,Sun Koshi,58.4403,4.2855,4051.8603
2050,Koshi,Tama Koshi,87.0127,8.2415,4353.5571
2050,Koshi,Likhu,14.9326,1.1681,4281.9223
2050,Koshi,Dudh Koshi,398.4721,39.3006,4402.738
2050,Koshi,Arun,147.8269,15.1364,4205.5578
2050,Koshi,Tamor,386.7258,42.544,4171.9368
