district_name,bl,bw,ml,mz,pd,wt,year,total_yield,mz_change,pd_change,wt_change,mz_ma3,mz_std3,pd_ma3,pd_std3,wt_ma3,wt_std3,mz_lag1,pd_lag1,wt_lag1,avg_temp,avg_max_temp,temp_range_stddev,annual_precip,avg_humidity,avg_wind,highheat_days,precip_zscore,avg_temp_lag1,annual_precip_lag1,precip_zscore_lag1,highheat_days_lag1,temp_range_stddev_lag1,CENTROID_LAT,CENTROID_LON
ARGHAKHANCHI,900.0,,1000.0,1280.0,1828.0,1420.0,1982,4528.0,-320.0,-172.0,420.0,1496.6666666666667,187.70544300401457,1999.0,170.50219939930395,1189.3333333333333,213.02894951938657,1600.0,2000.0,1000.0,22.307260273972602,28.49421917808219,3.0335746996534043,1002.7,50.56334246575342,2.5689041095890413,14,-0.24941312424609613,21.94627397260274,1487.8,0.9192337116347722,17.0,3.6057896402453147,27.90832488661885,83.0812087156592
ARGHAKHANCHI,900.0,,900.0,1504.0,2059.0,1000.0,1983,4563.0,224.0,231.0,-420.0,1461.3333333333333,164.21124606230038,1962.3333333333333,120.01805419741373,1140.0,242.48711305964287,1280.0,1828.0,1420.0,22.7687397260274,29.166876712328765,3.2709421078749448,731.61,45.04030136986301,2.718246575342466,26,-0.9024918105766355,22.307260273972602,1002.7,-0.24941312424609613,14.0,3.0335746996534043,27.90832488661885,83.0812087156592
ARGHAKHANCHI,889.0,,893.0,1500.0,1801.0,500.0,1984,3801.0,-4.0,-258.0,-500.0,1428.0,128.18736287169662,1896.0,141.8062057880402,973.3333333333334,460.5793453177567,1504.0,2059.0,1000.0,22.508360655737704,28.945655737704918,3.6764763505514826,1002.52,46.84546448087431,2.694535519125683,28,-0.24984675943566245,22.7687397260274,731.61,-0.9024918105766355,26.0,3.2709421078749448,27.90832488661885,83.0812087156592
ARGHAKHANCHI,692.0,,909.0,1685.0,2000.0,900.0,1985,4585.0,185.0,199.0,400.0,1563.0,105.67402708329054,1953.3333333333333,135.18259256773166,800.0,264.5751311064592,1500.0,1801.0,500.0,22.736465753424657,28.995561643835615,4.03884124061748,904.93,48.872465753424656,2.721178082191781,39,-0.48494930471212916,22.508360655737704,1002.52,-0.24984675943566245,28.0,3.6764763505514826,27.90832488661885,83.0812087156592
ARGHAKHANCHI,714.0,,900.0,1196.0,1803.0,1000.0,1986,3999.0,-489.0,-197.0,100.0,1460.3333333333333,246.90146482622038,1868.0,114.31972708154967,800.0,264.5751311064592,1685.0,2000.0,900.0,22.60334246575342,29.134136986301368,3.358741331410654,708.4,44.313315068493154,2.6913150684931506,18,-0.9584066591868088,22.736465753424657,904.93,-0.48494930471212916,39.0,4.03884124061748,27.90832488661885,83.0812087156592
ARGHAKHANCHI,900.0,,917.0,1135.0,1812.0,1100.0,1987,4047.0,-61.0,9.0,100.0,1338.6666666666667,301.48023705266877,1871.6666666666667,111.23099088533436,1000.0,100.00000000000028,1196.0,1803.0,1000.0,23.017671232876715,29.441178082191783,3.3455099072061043,895.9300000000001,45.02879452054794,2.520630136986301,40,-0.5066310641904381,22.60334246575342,708.4,-0.9584066591868088,18.0,3.358741331410654,27.90832488661885,83.0812087156592
ARGHAKHANCHI,940.0,,921.0,1280.0,1903.0,996.0,1988,4179.0,145.0,91.0,-104.0,1203.6666666666667,72.80338819954311,1839.3333333333333,55.320279584735886,1032.0,58.923679450625436,1135.0,1812.0,1100.0,23.016639344262295,29.22939890710382,3.797012033890322,1176.04,48.936502732240434,2.514890710382514,26,0.1681775633061398,23.017671232876715,895.9300000000001,-0.5066310641904381,40.0,3.3455099072061043,27.90832488661885,83.0812087156592
ARGHAKHANCHI,1000.0,,1260.0,1600.0,2006.0,1106.0,1990,4712.0,320.0,103.0,110.0,1338.3333333333333,237.92505822912682,1907.0,97.06183596038154,1067.3333333333333,61.84927916583502,1280.0,1903.0,996.0,22.78972602739726,28.818520547945205,3.7474463053566143,1163.2,49.24660273972602,2.5772602739726027,30,0.13724491978375214,22.60964383561644,843.23,-0.6335898113578713,27.0,3.6951878551246287,27.90832488661885,83.0812087156592
ARGHAKHANCHI,900.0,,1256.0,1600.0,1927.0,1039.0,1991,4566.0,0.0,-79.0,-67.0,1493.3333333333333,184.75208614068043,1945.3333333333333,53.89186704256355,1047.0,55.43464620614132,1600.0,2006.0,1106.0,23.265123287671233,29.828657534246577,3.4215665090986436,688.26,43.054273972602736,2.739095890410959,41,-1.0069256187304918,22.78972602739726,1163.2,0.13724491978375214,30.0,3.7474463053566143,27.90832488661885,83.0812087156592
ARGHAKHANCHI,307.0,,1297.0,1700.0,1888.0,829.0,1992,4417.0,100.0,-39.0,-210.0,1633.3333333333333,57.7350269189633,1940.3333333333333,60.11932578907839,991.3333333333334,144.5210480633648,1600.0,1927.0,1039.0,22.91806010928962,29.47792349726776,3.30426909268057,756.32,43.53950819672131,2.8937431693989066,29,-0.8429633353867442,23.265123287671233,688.26,-1.0069256187304918,41.0,3.4215665090986436,27.90832488661885,83.0812087156592
